Team,Season,Active Payroll,Win Rate
ANA,2012–13,"$33,004,912.00 ",0.688
ANA,2013-14,"$54,711,667.00 ",0.707
ANA,2014-15,"$57,667,765.00 ",0.665
ANA,2015-16,"$59,827,042.00 ",0.628
ANA,2016-17,"$70,775,300.00 ",0.64
ANA,2017-18,"$61,159,137.00 ",0.616
ANA,2018-19,"$66,566,229.00 ",0.488
ANA,2019-20,"$54,387,690.00 ",0.472
ANA,2020-21,"$55,026,330.00 ",0.384
ANA,2021-22,"$40,686,558.00 ",0.463
ANA,2022-23,"$54,804,905.00 ",0.354
ANA,2023-24,"$64,428,977.00 ",0.36
ARI,2012–13,"$25,232,260.00 ",0.531
ARI,2013-14,"$54,270,538.00 ",0.543
ARI,2014-15,"$37,249,855.00 ",0.341
ARI,2015-16,"$50,673,481.00 ",0.476
ARI,2016-17,"$47,884,758.00 ",0.427
ARI,2017-18,"$44,509,599.00 ",0.427
ARI,2018-19,"$51,175,640.00 ",0.524
ARI,2019-20,"$68,823,090.00 ",0.529
ARI,2020-21,"$59,641,049.00 ",0.482
ARI,2021-22,"$57,045,993.00 ",0.348
ARI,2022-23,"$36,294,911.00 ",0.427
ARI,2023-24,"$43,379,999.00 ",0.47
BOS,2012–13,"$46,515,754.00 ",0.646
BOS,2013-14,"$79,590,000.00 ",0.713
BOS,2014-15,"$65,380,987.00 ",0.585
BOS,2015-16,"$64,037,220.00 ",0.567
BOS,2016-17,"$74,219,180.00 ",0.579
BOS,2017-18,"$73,609,141.00 ",0.683
BOS,2018-19,"$64,912,840.00 ",0.652
BOS,2019-20,"$65,235,484.00 ",0.714
BOS,2020-21,"$65,990,628.00 ",0.652
BOS,2021-22,"$73,589,852.00 ",0.652
BOS,2022-23,"$75,077,913.00 ",0.823
BOS,2023-24,"$83,964,709.00 ",0.665
BUF,2012–13,"$47,244,706.00 ",0.5
BUF,2013-14,"$37,706,473.00 ",0.317
BUF,2014-15,"$46,763,236.00 ",0.329
BUF,2015-16,"$55,125,000.00 ",0.494
BUF,2016-17,"$73,261,700.00 ",0.476
BUF,2017-18,"$54,479,676.00 ",0.378
BUF,2018-19,"$64,458,866.00 ",0.463
BUF,2019-20,"$66,378,409.00 ",0.493
BUF,2020-21,"$50,293,838.00 ",0.33
BUF,2021-22,"$55,632,505.00 ",0.457
BUF,2022-23,"$57,259,291.00 ",0.555
BUF,2023-24,"$66,063,258.00 ",0.512
CAR,2012–13,"$28,035,426.00 ",0.438
CAR,2013-14,"$51,990,000.00 ",0.506
CAR,2014-15,"$56,150,793.00 ",0.433
CAR,2015-16,"$38,851,693.00 ",0.524
CAR,2016-17,"$41,297,500.00 ",0.53
CAR,2017-18,"$52,108,006.00 ",0.506
CAR,2018-19,"$54,973,116.00 ",0.604
CAR,2019-20,"$70,607,760.00 ",0.596
CAR,2020-21,"$69,610,636.00 ",0.714
CAR,2021-22,"$79,840,035.00 ",0.707
CAR,2022-23,"$64,411,496.00 ",0.689
CAR,2023-24,"$79,977,954.00 ",0.677
CBJ,2012–13,"$34,169,756.00 ",0.573
CBJ,2013-14,"$56,616,967.00 ",0.567
CBJ,2014-15,"$52,579,540.00 ",0.543
CBJ,2015-16,"$56,817,981.00 ",0.463
CBJ,2016-17,"$63,942,083.00 ",0.659
CBJ,2017-18,"$60,513,645.00 ",0.591
CBJ,2018-19,"$69,438,110.00 ",0.598
CBJ,2019-20,"$67,528,810.00 ",0.579
CBJ,2020-21,"$43,313,138.00 ",0.429
CBJ,2021-22,"$59,643,109.00 ",0.494
CBJ,2022-23,"$49,775,229.00 ",0.36
CBJ,2023-24,"$71,277,589.00 ",0.402
CGY,2012–13,"$22,977,927.00 ",0.438
CGY,2013-14,"$48,600,000.00 ",0.47
CGY,2014-15,"$57,980,861.00 ",0.591
CGY,2015-16,"$49,609,703.00 ",0.47
CGY,2016-17,"$70,630,600.00 ",0.573
CGY,2017-18,"$70,069,837.00 ",0.512
CGY,2018-19,"$74,940,854.00 ",0.652
CGY,2019-20,"$75,347,756.00 ",0.564
CGY,2020-21,"$66,356,982.00 ",0.491
CGY,2021-22,"$71,813,500.00 ",0.677
CGY,2022-23,"$78,974,728.00 ",0.567
CGY,2023-24,"$68,861,640.00 ",0.494
CHI,2012–13,"$52,502,803.00 ",0.802
CHI,2013-14,"$62,931,845.00 ",0.652
CHI,2014-15,"$76,864,161.00 ",0.622
CHI,2015-16,"$77,393,714.00 ",0.628
CHI,2016-17,"$77,838,288.00 ",0.665
CHI,2017-18,"$64,124,211.00 ",0.463
CHI,2018-19,"$74,337,092.00 ",0.512
CHI,2019-20,"$62,010,174.00 ",0.514
CHI,2020-21,"$43,151,462.00 ",0.491
CHI,2021-22,"$54,063,500.00 ",0.415
CHI,2022-23,"$47,902,779.00 ",0.36
CHI,2023-24,"$57,320,395.00 ",0.317
COL,2012–13,"$27,067,499.00 ",0.406
COL,2013-14,"$55,464,936.00 ",0.683
COL,2014-15,"$58,031,541.00 ",0.549
COL,2015-16,"$55,098,703.00 ",0.5
COL,2016-17,"$54,093,625.00 ",0.293
COL,2017-18,"$66,453,361.00 ",0.579
COL,2018-19,"$72,472,981.00 ",0.549
COL,2019-20,"$75,428,488.00 ",0.657
COL,2020-21,"$66,652,186.00 ",0.732
COL,2021-22,"$77,313,812.00 ",0.726
COL,2022-23,"$73,108,653.00 ",0.665
COL,2023-24,"$82,790,860.00 ",0.652
DAL,2012–13,"$26,006,830.00 ",0.5
DAL,2013-14,"$48,840,000.00 ",0.555
DAL,2014-15,"$51,131,000.00 ",0.561
DAL,2015-16,"$56,982,983.00 ",0.665
DAL,2016-17,"$61,492,000.00 ",0.482
DAL,2017-18,"$71,520,681.00 ",0.561
DAL,2018-19,"$71,221,639.00 ",0.567
DAL,2019-20,"$85,634,632.00 ",0.594
DAL,2020-21,"$60,634,807.00 ",0.536
DAL,2021-22,"$73,535,717.00 ",0.598
DAL,2022-23,"$7,729,934.00 ",0.659
DAL,2023-24,"$85,989,668.00 ",0.689
DET,2012–13,"$35,427,316.00 ",0.583
DET,2013-14,"$63,710,000.00 ",0.567
DET,2014-15,"$73,035,151.00 ",0.61
DET,2015-16,"$73,796,207.00 ",0.567
DET,2016-17,"$59,272,500.00 ",0.482
DET,2017-18,"$60,097,608.00 ",0.445
DET,2018-19,"$56,441,708.00 ",0.451
DET,2019-20,"$49,479,731.00 ",0.275
DET,2020-21,"$41,481,305.00 ",0.429
DET,2021-22,"$47,409,069.00 ",0.451
DET,2022-23,"$49,049,029.00 ",0.488
DET,2023-24,"$83,682,500.00 ",0.555
EDM,2012–13,"$25,263,475.00 ",0.469
EDM,2013-14,"$40,650,000.00 ",0.409
EDM,2014-15,"$59,703,978.00 ",0.378
EDM,2015-16,"$56,640,989.00 ",0.427
EDM,2016-17,"$63,254,704.00 ",0.628
EDM,2017-18,"$58,637,642.00 ",0.476
EDM,2018-19,"$73,902,397.00 ",0.482
EDM,2019-20,"$75,780,730.00 ",0.585
EDM,2020-21,"$69,226,215.00 ",0.643
EDM,2021-22,"$61,489,000.00 ",0.634
EDM,2022-23,"$75,120,552.00 ",0.665
EDM,2023-24,"$81,110,580.00 ",0.634
FLA,2012–13,"$25,034,670.00 ",0.375
FLA,2013-14,"$42,079,374.00 ",0.402
FLA,2014-15,"$57,011,149.00 ",0.555
FLA,2015-16,"$50,257,548.00 ",0.628
FLA,2016-17,"$49,990,125.00 ",0.494
FLA,2017-18,"$69,364,707.00 ",0.585
FLA,2018-19,"$64,196,880.00 ",0.524
FLA,2019-20,"$76,716,520.00 ",0.565
FLA,2020-21,"$64,104,229.00 ",0.705
FLA,2021-22,"$59,679,183.00 ",0.744
FLA,2022-23,"$71,171,855.00 ",0.561
FLA,2023-24,"$88,169,714.00 ",0.671
LAK,2012–13,"$40,677,927.00 ",0.615
LAK,2013-14,"$72,667,500.00 ",0.61
LAK,2014-15,"$75,032,069.00 ",0.579
LAK,2015-16,"$63,797,769.00 ",0.622
LAK,2016-17,"$75,043,908.00 ",0.524
LAK,2017-18,"$70,361,951.00 ",0.598
LAK,2018-19,"$71,733,183.00 ",0.433
LAK,2019-20,"$59,355,564.00 ",0.457
LAK,2020-21,"$48,162,263.00 ",0.438
LAK,2021-22,"$53,059,913.00 ",0.604
LAK,2022-23,"$60,243,187.00 ",0.634
LAK,2023-24,"$79,553,256.00 ",0.604
MIN,2012–13,"$50,553,781.00 ",0.573
MIN,2013-14,"$69,709,308.00 ",0.598
MIN,2014-15,"$72,131,721.00 ",0.61
MIN,2015-16,"$66,963,463.00 ",0.53
MIN,2016-17,"$71,591,667.00 ",0.646
MIN,2017-18,"$67,807,525.00 ",0.616
MIN,2018-19,"$54,974,461.00 ",0.506
MIN,2019-20,"$76,461,420.00 ",0.558
MIN,2020-21,"$78,654,264.00 ",0.67
MIN,2021-22,"$65,447,853.00 ",0.689
MIN,2022-23,"$63,488,574.00 ",0.628
MIN,2023-24,"$69,370,615.00 ",0.53
MTL,2012–13,"$33,989,084.00 ",0.656
MTL,2013-14,"$63,546,167.00 ",0.61
MTL,2014-15,"$66,493,848.00 ",0.671
MTL,2015-16,"$48,600,789.00 ",0.5
MTL,2016-17,"$76,453,480.00 ",0.628
MTL,2017-18,"$55,000,026.00 ",0.433
MTL,2018-19,"$64,787,980.00 ",0.585
MTL,2019-20,"$71,702,382.00 ",0.5
MTL,2020-21,"$64,314,547.00 ",0.527
MTL,2021-22,"$60,183,807.00 ",0.335
MTL,2022-23,"$67,273,083.00 ",0.415
MTL,2023-24,"$75,913,606.00 ",0.463
NJD,2012–13,"$20,419,694.00 ",0.5
NJD,2013-14,"$52,815,000.00 ",0.537
NJD,2014-15,"$52,130,886.00 ",0.476
NJD,2015-16,"$44,780,757.00 ",0.512
NJD,2016-17,"$49,902,760.00 ",0.427
NJD,2017-18,"$60,843,833.00 ",0.591
NJD,2018-19,"$44,904,354.00 ",0.439
NJD,2019-20,"$52,751,382.00 ",0.493
NJD,2020-21,"$49,142,217.00 ",0.402
NJD,2021-22,"$61,937,801.00 ",0.384
NJD,2022-23,"$76,823,959.00 ",0.683
NJD,2023-24,"$69,516,129.00 ",0.494
NSH,2012–13,"$31,479,756.00 ",0.427
NSH,2013-14,"$57,705,384.00 ",0.537
NSH,2014-15,"$62,234,735.00 ",0.634
NSH,2015-16,"$64,803,344.00 ",0.585
NSH,2016-17,"$69,250,000.00 ",0.573
NSH,2017-18,"$62,395,169.00 ",0.713
NSH,2018-19,"$68,485,516.00 ",0.61
NSH,2019-20,"$84,222,496.00 ",0.565
NSH,2020-21,"$74,731,835.00 ",0.571
NSH,2021-22,"$70,093,750.00 ",0.591
NSH,2022-23,"$54,592,542.00 ",0.561
NSH,2023-24,"$71,113,431.00 ",0.604
NYI,2012–13,"$19,221,038.00 ",0.573
NYI,2013-14,"$32,997,769.00 ",0.482
NYI,2014-15,"$60,161,935.00 ",0.616
NYI,2015-16,"$66,359,590.00 ",0.61
NYI,2016-17,"$69,542,500.00 ",0.573
NYI,2017-18,"$65,228,044.00 ",0.488
NYI,2018-19,"$70,135,783.00 ",0.628
NYI,2019-20,"$88,231,449.00 ",0.588
NYI,2020-21,"$66,762,488.00 ",0.634
NYI,2021-22,"$82,401,500.00 ",0.512
NYI,2022-23,"$74,345,946.00 ",0.567
NYI,2023-24,"$81,561,557.00 ",0.573
NYR,2012–13,"$41,364,998.00 ",0.583
NYR,2013-14,"$60,255,372.00 ",0.585
NYR,2014-15,"$75,461,939.00 ",0.689
NYR,2015-16,"$78,032,590.00 ",0.616
NYR,2016-17,"$76,425,296.00 ",0.622
NYR,2017-18,"$47,674,377.00 ",0.47
NYR,2018-19,"$58,487,162.00 ",0.476
NYR,2019-20,"$73,791,337.00 ",0.564
NYR,2020-21,"$74,368,776.00 ",0.536
NYR,2021-22,"$67,274,279.00 ",0.671
NYR,2022-23,"$77,725,854.00 ",0.652
NYR,2023-24,"$84,629,594.00 ",0.695
OTT,2012–13,"$26,631,648.00 ",0.583
OTT,2013-14,"$56,659,818.00 ",0.537
OTT,2014-15,"$54,190,901.00 ",0.604
OTT,2015-16,"$54,190,901.00 ",0.518
OTT,2016-17,"$69,056,180.00 ",0.598
OTT,2017-18,"$48,770,602.00 ",0.409
OTT,2018-19,"$38,300,470.00 ",0.39
OTT,2019-20,"$41,431,285.00 ",0.437
OTT,2020-21,"$43,351,652.00 ",0.455
OTT,2021-22,"$41,357,155.00 ",0.445
OTT,2022-23,"$53,098,855.00 ",0.524
OTT,2023-24,"$67,250,568.00 ",0.476
PHI,2012–13,"$47,565,853.00 ",0.51
PHI,2013-14,"$68,404,472.00 ",0.573
PHI,2014-15,"$68,356,544.00 ",0.512
PHI,2015-16,"$62,968,967.00 ",0.585
PHI,2016-17,"$69,463,100.00 ",0.537
PHI,2017-18,"$74,475,693.00 ",0.598
PHI,2018-19,"$59,325,979.00 ",0.5
PHI,2019-20,"$78,845,606.00 ",0.645
PHI,2020-21,"$64,382,961.00 ",0.518
PHI,2021-22,"$59,673,943.00 ",0.372
PHI,2022-23,"$52,301,899.00 ",0.457
PHI,2023-24,"$58,697,403.00 ",0.53
PIT,2012–13,"$44,787,622.00 ",0.75
PIT,2013-14,"$75,560,000.00 ",0.665
PIT,2014-15,"$69,170,858.00 ",0.598
PIT,2015-16,"$61,841,612.00 ",0.634
PIT,2016-17,"$66,001,720.00 ",0.677
PIT,2017-18,"$75,304,062.00 ",0.61
PIT,2018-19,"$71,958,940.00 ",0.61
PIT,2019-20,"$79,854,844.00 ",0.623
PIT,2020-21,"$72,397,453.00 ",0.688
PIT,2021-22,"$77,396,181.00 ",0.628
PIT,2022-23,"$76,122,456.00 ",0.555
PIT,2023-24,"$67,764,445.00 ",0.537
SEA,2021-22,"$57,367,075.00 ",0.366
SEA,2022-23,"$61,704,486.00 ",0.61
SEA,2023-24,"$80,291,136.00 ",0.494
SJS,2012–13,"$40,983,779.00 ",0.594
SJS,2013-14,"$63,560,000.00 ",0.677
SJS,2014-15,"$54,432,849.00 ",0.543
SJS,2015-16,"$65,605,267.00 ",0.598
SJS,2016-17,"$70,215,560.00 ",0.604
SJS,2017-18,"$65,310,217.00 ",0.61
SJS,2018-19,"$83,973,200.00 ",0.616
SJS,2019-20,"$60,266,620.00 ",0.45
SJS,2020-21,"$74,962,046.00 ",0.438
SJS,2021-22,"$66,054,101.00 ",0.47
SJS,2022-23,"$62,575,015.00 ",0.366
SJS,2023-24,"$49,463,699.00 ",0.287
STL,2012–13,"$28,344,331.00 ",0.625
STL,2013-14,"$62,891,667.00 ",0.677
STL,2014-15,"$63,374,971.00 ",0.665
STL,2015-16,"$73,197,500.00 ",0.652
STL,2016-17,"$70,900,000.00 ",0.604
STL,2017-18,"$62,760,093.00 ",0.573
STL,2018-19,"$83,169,344.00 ",0.604
STL,2019-20,"$84,881,820.00 ",0.662
STL,2020-21,"$71,626,855.00 ",0.563
STL,2021-22,"$76,895,000.00 ",0.665
STL,2022-23,"$68,954,984.00 ",0.494
STL,2023-24,"$94,978,264.00 ",0.561
TBL,2012–13,"$42,429,419.00 ",0.417
TBL,2013-14,"$47,714,125.00 ",0.616
TBL,2014-15,"$61,754,455.00 ",0.659
TBL,2015-16,"$69,049,125.00 ",0.591
TBL,2016-17,"$42,130,842.00 ",0.573
TBL,2017-18,"$74,398,290.00 ",0.689
TBL,2018-19,"$79,199,712.00 ",0.78
TBL,2019-20,"$84,073,050.00 ",0.657
TBL,2020-21,"$64,640,185.00 ",0.67
TBL,2021-22,"$86,637,500.00 ",0.671
TBL,2022-23,"$84,457,542.00 ",0.598
TBL,2023-24,"$81,547,038.00 ",0.598
TOR,2012–13,"$32,767,074.00 ",0.594
TOR,2013-14,"$57,505,384.00 ",0.512
TOR,2014-15,"$62,107,309.00 ",0.415
TOR,2015-16,"$34,981,449.00 ",0.421
TOR,2016-17,"$49,470,777.00 ",0.579
TOR,2017-18,"$63,465,874.00 ",0.64
TOR,2018-19,"$68,969,768.00 ",0.61
TOR,2019-20,"$97,498,515.00 ",0.579
TOR,2020-21,"$83,345,663.00 ",0.688
TOR,2021-22,"$74,102,760.00 ",0.701
TOR,2022-23,"$68,445,682.00 ",0.677
TOR,2023-24,"$77,665,700.00 ",0.622
VAN,2012–13,"$53,554,537.00 ",0.615
VAN,2013-14,"$61,800,000.00 ",0.506
VAN,2014-15,"$63,758,721.00 ",0.616
VAN,2015-16,"$59,455,894.00 ",0.457
VAN,2016-17,"$52,304,840.00 ",0.421
VAN,2017-18,"$63,344,583.00 ",0.445
VAN,2018-19,"$59,954,625.00 ",0.494
VAN,2019-20,"$78,428,416.00 ",0.565
VAN,2020-21,"$55,662,532.00 ",0.446
VAN,2021-22,"$64,050,750.00 ",0.561
VAN,2022-23,"$50,535,127.00 ",0.506
VAN,2023-24,"$88,313,387.00 ",0.665
VGK,2017-18,"$46,231,034.00 ",0.665
VGK,2018-19,"$61,747,543.00 ",0.567
VGK,2019-20,"$88,868,265.00 ",0.606
VGK,2020-21,"$67,201,486.00 ",0.732
VGK,2021-22,"$75,421,875.00 ",0.573
VGK,2022-23,"$75,443,322.00 ",0.677
VGK,2023-24,"$83,173,165.00 ",0.598
WAS,2012–13,"$39,795,125.00 ",0.594
WAS,2013-14,"$59,150,384.00 ",0.549
WAS,2014-15,"$55,035,910.00 ",0.616
WAS,2015-16,"$66,759,649.00 ",0.732
WAS,2016-17,"$73,120,838.00 ",0.72
WAS,2017-18,"$85,001,197.00 ",0.64
WAS,2018-19,"$90,324,521.00 ",0.634
WAS,2019-20,"$89,281,530.00 ",0.652
WAS,2020-21,"$69,272,230.00 ",0.688
WAS,2021-22,"$75,364,250.00 ",0.61
WAS,2022-23,"$65,284,968.00 ",0.488
WAS,2023-24,"$68,770,363.00 ",0.555
WPG,2012–13,"$29,660,372.00 ",0.531
WPG,2013-14,"$57,045,000.00 ",0.512
WPG,2014-15,"$67,779,435.00 ",0.604
WPG,2015-16,"$52,071,357.00 ",0.476
WPG,2016-17,"$54,993,125.00 ",0.53
WPG,2017-18,"$68,600,074.00 ",0.695
WPG,2018-19,"$74,899,556.00 ",0.604
WPG,2019-20,"$73,165,332.00 ",0.563
WPG,2020-21,"$69,832,261.00 ",0.563
WPG,2021-22,"$79,987,016.00 ",0.543
WPG,2022-23,"$72,726,572.00 ",0.579
WPG,2023-24,"$85,638,634.00 ",0.671
