,Year,Team,Payroll,W-L%
0,2011,ARI,111028866,0.5
1,2011,ATL,116684491,0.625
2,2011,BAL,106996060,0.75
3,2011,BUF,70042948,0.375
4,2011,CAR,116797431,0.375
5,2011,CHI,100826630,0.5
6,2011,CIN,100319460,0.563
7,2011,CLE,97444298,0.25
8,2011,DAL,90321660,0.5
9,2011,DEN,95632160,0.5
10,2011,DET,120575367,0.625
11,2011,GB,112648083,0.938
12,2011,HOU,112947071,0.625
13,2011,IND,114200303,0.125
14,2011,JAX,83637656,0.313
15,2011,KC,102911884,0.438
16,2011,MIA,113691396,0.375
17,2011,MIN,109153701,0.188
18,2011,NE,105061299,0.813
19,2011,NO,99762948,0.813
20,2011,NYG,121753387,0.563
21,2011,NYJ,114337718,0.5
22,2011,OAK,105625393,0.5
23,2011,PHI,118267572,0.5
24,2011,PIT,116070403,0.75
25,2011,SD,105636496,0.5
26,2011,SEA,88541574,0.438
27,2011,SF,107177164,0.813
28,2011,STL,106735081,0.125
29,2011,TB,81455451,0.25
30,2011,TEN,107874324,0.563
31,2011,WAS,100868212,0.313
32,2012,ARI,88769403,0.313
33,2012,ATL,103035944,0.813
34,2012,BAL,101262723,0.625
35,2012,BUF,79492678,0.375
36,2012,CAR,91167463,0.438
37,2012,CHI,109098054,0.625
38,2012,CIN,90863643,0.625
39,2012,CLE,103625309,0.313
40,2012,DAL,98515939,0.5
41,2012,DEN,116387623,0.813
42,2012,DET,115697825,0.25
43,2012,GB,106258073,0.688
44,2012,HOU,100750648,0.75
45,2012,IND,75393533,0.688
46,2012,JAX,95270155,0.125
47,2012,KC,114132477,0.125
48,2012,MIA,90041870,0.438
49,2012,MIN,101904733,0.625
50,2012,NE,102563402,0.75
51,2012,NO,97362462,0.438
52,2012,NYG,113975692,0.563
53,2012,NYJ,102512003,0.375
54,2012,OAK,79520206,0.25
55,2012,PHI,88815050,0.25
56,2012,PIT,93010135,0.5
57,2012,SD,94427351,0.438
58,2012,SEA,93341595,0.688
59,2012,SF,129631457,0.719
60,2012,STL,96908309,0.469
61,2012,TB,96004352,0.438
62,2012,TEN,90842019,0.375
63,2012,WAS,88980238,0.625
64,2013,ARI,92369539,0.625
65,2013,ATL,89778071,0.25
66,2013,BAL,103969958,0.5
67,2013,BUF,93306218,0.375
68,2013,CAR,73225356,0.75
69,2013,CHI,103159959,0.5
70,2013,CIN,92938874,0.688
71,2013,CLE,80881583,0.25
72,2013,DAL,72038158,0.5
73,2013,DEN,97160491,0.813
74,2013,DET,95868619,0.438
75,2013,GB,100707865,0.531
76,2013,HOU,77438733,0.125
77,2013,IND,98729480,0.688
78,2013,JAX,66805513,0.25
79,2013,KC,114803016,0.688
80,2013,MIA,81123929,0.5
81,2013,MIN,117391509,0.344
82,2013,NE,84784241,0.75
83,2013,NO,97705545,0.688
84,2013,NYG,92701902,0.438
85,2013,NYJ,80633014,0.5
86,2013,OAK,56659660,0.25
87,2013,PHI,108049086,0.625
88,2013,PIT,96309954,0.5
89,2013,SD,94062621,0.563
90,2013,SEA,101503464,0.813
91,2013,SF,108616465,0.75
92,2013,STL,69722934,0.438
93,2013,TB,91995376,0.25
94,2013,TEN,110121914,0.438
95,2013,WAS,88700032,0.188
96,2014,ARI,93308619,0.688
97,2014,ATL,103552592,0.375
98,2014,BAL,96142927,0.625
99,2014,BUF,110273422,
100,2014,CAR,88019888,0.469
101,2014,CHI,81640084,0.313
102,2014,CIN,115809145,0.656
103,2014,CLE,97109089,0.438
104,2014,DAL,87696782,0.75
105,2014,DEN,121215199,0.75
106,2014,DET,112293516,0.688
107,2014,GB,123610693,0.75
108,2014,HOU,97907252,0.563
109,2014,IND,95599118,0.688
110,2014,JAX,87789968,0.188
111,2014,KC,96516582,0.563
112,2014,MIA,104746850,0.5
113,2014,MIN,88042001,0.438
114,2014,NE,109964588,0.75
115,2014,NO,101345281,0.438
116,2014,NYG,84943487,0.375
117,2014,NYJ,93006628,0.25
118,2014,OAK,78110193,0.188
119,2014,PHI,116673474,0.625
120,2014,PIT,113996593,0.688
121,2014,SD,94825621,0.563
122,2014,SD,94825621,0.563
123,2014,SEA,96775515,0.75
124,2014,SF,98126936,0.5
125,2014,STL,91476742,0.375
126,2014,TB,94061905,0.125
127,2014,TEN,90812712,0.125
128,2014,WAS,89595971,0.25
129,2015,ARI,120691340,0.813
130,2015,ATL,99720594,0.5
131,2015,BAL,65521036,0.313
132,2015,BUF,91749336,0.5
133,2015,CAR,121004274,0.938
134,2015,CHI,89976736,0.375
135,2015,CIN,134100760,0.75
136,2015,CLE,102057621,0.188
137,2015,DAL,80128732,0.25
138,2015,DEN,134668943,0.75
139,2015,DET,107062153,0.438
140,2015,GB,125157906,0.625
141,2015,HOU,102642525,0.563
142,2015,IND,108214835,0.5
143,2015,JAX,107546334,0.313
144,2015,KC,104438587,0.688
145,2015,MIA,90566641,0.375
146,2015,MIN,118160753,0.688
147,2015,NE,96415003,0.75
148,2015,NO,93560943,0.438
149,2015,NYG,78694040,0.375
150,2015,NYJ,135479685,0.625
151,2015,OAK,94352516,0.438
152,2015,PHI,123889910,0.438
153,2015,PIT,95331909,0.625
154,2015,SD,91395667,0.25
155,2015,SEA,114840985,0.625
156,2015,SF,74501722,0.313
157,2015,STL,94007833,0.438
158,2015,TB,86632966,0.375
159,2015,TEN,90472606,0.188
160,2015,WAS,97790178,0.563
161,2016,ARI,111290277,0.469
162,2016,ATL,112615074,0.688
163,2016,BAL,115846569,0.5
164,2016,BUF,112497692,0.438
165,2016,CAR,98999535,0.375
166,2016,CHI,73471561,0.188
167,2016,CIN,121320842,0.406
168,2016,CLE,81775809,0.063
169,2016,DAL,139363235,0.813
170,2016,DEN,112742090,0.563
171,2016,DET,116112911,0.563
172,2016,GB,134428984,0.625
173,2016,HOU,115226229,0.563
174,2016,IND,114015686,0.5
175,2016,JAX,109679864,0.188
