Unnamed: 0,Season,Team,Inflation_Adjusted_2025,Win_Percentage
0,2000-2001,Portland,159265467,0.61
1,2000-2001,New York,134868788,0.58
2,2000-2001,Miami,133893083,0.61
3,2000-2001,Brooklyn,125702023,0.32
4,2000-2001,Washington,107675943,0.23
5,2000-2001,LA Lakers,107461347,0.68
6,2000-2001,Milwaukee,105367649,0.63
7,2000-2001,San Antonio,104268072,0.71
8,2000-2001,Indiana,100386811,0.5
9,2000-2001,Phoenix,98236801,0.62
10,2000-2001,Utah,98214049,0.65
11,2000-2001,Dallas,95263612,0.65
12,2000-2001,Denver,95107581,0.49
13,2000-2001,Oklahoma City,93922022,0.54
14,2000-2001,Boston,93812764,0.44
15,2000-2001,Philadelphia,93096125,0.68
16,2000-2001,Cleveland,90718111,0.37
17,2000-2001,Houston,89811961,0.55
18,2000-2001,Memphis,89113143,0.28
19,2000-2001,Minnesota,86541172,0.57
20,2000-2001,Sacramento,84313862,0.67
21,2000-2001,Golden State,77200694,0.21
22,2000-2001,Detroit,73760660,0.39
23,2000-2001,Atlanta,71613539,0.3
24,2000-2001,Toronto,69821464,0.57
25,2000-2001,Orlando,68265371,0.52
26,2000-2001,Chicago,54109356,0.18
27,2000-2001,LA Clippers,53953147,0.38
28,2001-2002,New York,151780123,0.37
29,2001-2002,Portland,148779239,0.6
30,2001-2002,Brooklyn,132719005,0.63
31,2001-2002,Philadelphia,102501114,0.52
32,2001-2002,Dallas,102301160,0.7
33,2001-2002,Phoenix,99894176,0.44
34,2001-2002,Milwaukee,99237401,0.5
35,2001-2002,Minnesota,97242068,0.61
36,2001-2002,Sacramento,96937124,0.74
37,2001-2002,Washington,96681321,0.45
38,2001-2002,Denver,96124258,0.33
39,2001-2002,LA Lakers,95773977,0.71
40,2001-2002,Indiana,94250058,0.51
41,2001-2002,Miami,94166335,0.44
42,2001-2002,Toronto,92941360,0.51
43,2001-2002,Utah,92915243,0.54
44,2001-2002,Atlanta,90943431,0.4
45,2001-2002,Memphis,89876337,0.28
46,2001-2002,Houston,86783192,0.34
47,2001-2002,Golden State,84158566,0.26
48,2001-2002,Boston,83866497,0.6
49,2001-2002,Orlando,81163046,0.54
50,2001-2002,San Antonio,80917378,0.71
51,2001-2002,Cleveland,80573481,0.35
52,2001-2002,Oklahoma City,80408908,0.55
53,2001-2002,Chicago,75177581,0.26
54,2001-2002,Detroit,74868385,0.61
55,2001-2002,LA Clippers,59746073,0.48
56,2002-2003,Portland,184410864,0.61
57,2002-2003,New York,163203998,0.45
58,2002-2003,Dallas,127382002,0.73
59,2002-2003,Sacramento,122974612,0.72
60,2002-2003,Philadelphia,113205131,0.58
61,2002-2003,LA Lakers,110286387,0.61
62,2002-2003,Memphis,106545607,0.34
63,2002-2003,Brooklyn,105504321,0.6
64,2002-2003,Minnesota,103942847,0.62
65,2002-2003,Milwaukee,101281964,0.51
66,2002-2003,Miami,100204748,0.3
67,2002-2003,Atlanta,97293910,0.43
68,2002-2003,Toronto,96764156,0.29
69,2002-2003,Phoenix,96444346,0.54
70,2002-2003,Indiana,93383357,0.58
71,2002-2003,San Antonio,92877317,0.73
72,2002-2003,Oklahoma City,92850981,0.49
73,2002-2003,Boston,91769470,0.54
74,2002-2003,Utah,88951559,0.57
75,2002-2003,Orlando,88079618,0.51
76,2002-2003,Houston,87635848,0.52
77,2002-2003,Cleveland,86639028,0.21
78,2002-2003,Denver,85763667,0.21
79,2002-2003,Detroit,83438667,0.61
80,2002-2003,Golden State,83368514,0.46
81,2002-2003,Washington,81540872,0.45
82,2002-2003,Chicago,77768511,0.37
83,2002-2003,New Orleans,77642401,0.57
