Team,Season,Active Payroll,Win Rate,Playoff Wins,Playoff Score
ANA,2012-13,33004912,0.688,3,1
ANA,2013-14,54711667,0.707,7,2
ANA,2014-15,57667765,0.665,11,3
ANA,2015-16,59827042,0.628,3,1
ANA,2016-17,70775300,0.64,10,3
ANA,2017-18,61159137,0.616,0,1
ANA,2018-19,66566229,0.488,,0
ANA,2019-20,54387690,0.472,,0
ANA,2020-21,55026330,0.384,,0
ANA,2021-22,40686558,0.463,,0
ANA,2022-23,54804905,0.354,,0
ANA,2023-24,64428977,0.36,,0
ARI,2012-13,25232260,0.531,,0
ARI,2013-14,54270538,0.543,,0
ARI,2014-15,37249855,0.341,,0
ARI,2015-16,50673481,0.476,,0
ARI,2016-17,47884758,0.427,,0
ARI,2017-18,44509599,0.427,,0
ARI,2018-19,51175640,0.524,,0
ARI,2019-20,68823090,0.529,4,10
ARI,2020-21,59641049,0.482,,0
ARI,2021-22,57045993,0.348,,0
ARI,2022-23,36294911,0.427,,0
ARI,2023-24,43379999,0.47,,0
BOS,2012-13,46515754,0.646,14,4
BOS,2013-14,79590000,0.713,7,2
BOS,2014-15,65380987,0.585,,0
BOS,2015-16,64037220,0.567,,0
BOS,2016-17,74219180,0.579,2,1
BOS,2017-18,73609141,0.683,5,2
BOS,2018-19,64912840,0.652,15,4
BOS,2019-20,65235484,0.714,5,13
BOS,2020-21,65990628,0.652,6,2
BOS,2021-22,73589852,0.652,3,1
BOS,2022-23,75077913,0.823,3,1
BOS,2023-24,83964709,0.665,6,2
BUF,2012-13,47244706,0.5,,0
BUF,2013-14,37706473,0.317,,0
BUF,2014-15,46763236,0.329,,0
BUF,2015-16,55125000,0.494,,0
BUF,2016-17,73261700,0.476,,0
BUF,2017-18,54479676,0.378,,0
BUF,2018-19,64458866,0.463,,0
BUF,2019-20,66378409,0.493,,0
BUF,2020-21,50293838,0.33,,0
BUF,2021-22,55632505,0.457,,0
BUF,2022-23,57259291,0.555,,0
BUF,2023-24,66063258,0.512,,0
CAR,2012-13,28035426,0.438,,0
CAR,2013-14,51990000,0.506,,0
CAR,2014-15,56150793,0.433,,0
CAR,2015-16,38851693,0.524,,0
CAR,2016-17,41297500,0.53,,0
CAR,2017-18,52108006,0.506,,0
CAR,2018-19,54973116,0.604,8,3
CAR,2019-20,70607760,0.596,4,0
CAR,2020-21,69610636,0.714,5,2
CAR,2021-22,79840035,0.707,7,2
CAR,2022-23,64411496,0.689,8,3
CAR,2023-24,79977954,0.677,6,2
CBJ,2012-13,34169756,0.573,,0
CBJ,2013-14,56616967,0.567,2,1
CBJ,2014-15,52579540,0.543,,0
CBJ,2015-16,56817981,0.463,,0
CBJ,2016-17,63942083,0.659,1,1
CBJ,2017-18,60513645,0.591,2,1
CBJ,2018-19,69438110,0.598,6,2
CBJ,2019-20,67528810,0.579,4,1
CBJ,2020-21,43313138,0.429,,0
CBJ,2021-22,59643109,0.494,,0
CBJ,2022-23,49775229,0.36,,0
CBJ,2023-24,71277589,0.402,,0
CGY,2012-13,22977927,0.438,,0
CGY,2013-14,48600000,0.47,,0
CGY,2014-15,57980861,0.591,5,2
CGY,2015-16,49609703,0.47,,0
CGY,2016-17,70630600,0.573,0,1
CGY,2017-18,70069837,0.512,,0
CGY,2018-19,74940854,0.652,1,1
CGY,2019-20,75347756,0.564,5,2
CGY,2020-21,66356982,0.491,,0
CGY,2021-22,71813500,0.677,5,2
CGY,2022-23,78974728,0.567,,0
CGY,2023-24,68861640,0.494,,0
CHI,2012-13,52502803,0.802,16,5
CHI,2013-14,62931845,0.652,11,3
CHI,2014-15,76864161,0.622,16,5
CHI,2015-16,77393714,0.628,3,1
CHI,2016-17,77838288,0.665,0,1
CHI,2017-18,64124211,0.463,,0
CHI,2018-19,74337092,0.512,,0
CHI,2019-20,62010174,0.514,4,0
CHI,2020-21,43151462,0.491,,0
CHI,2021-22,54063500,0.415,,0
CHI,2022-23,47902779,0.36,,0
CHI,2023-24,57320395,0.317,,0
COL,2012-13,27067499,0.406,,0
COL,2013-14,55464936,0.683,3,1
COL,2014-15,58031541,0.549,,0
COL,2015-16,55098703,0.5,,0
COL,2016-17,54093625,0.293,,0
COL,2017-18,66453361,0.579,2,1
COL,2018-19,72472981,0.549,7,2
COL,2019-20,75428488,0.657,9,2
COL,2020-21,66652186,0.732,6,2
COL,2021-22,77313812,0.726,16,5
COL,2022-23,73108653,0.665,3,1
COL,2023-24,82790860,0.652,6,2
DAL,2012-13,26006830,0.5,,0
DAL,2013-14,48840000,0.555,2,1
DAL,2014-15,51131000,0.561,,0
DAL,2015-16,56982983,0.665,7,2
DAL,2016-17,61492000,0.482,,0
DAL,2017-18,71520681,0.561,,0
DAL,2018-19,71221639,0.567,7,2
DAL,2019-20,85634632,0.594,15,4
DAL,2020-21,60634807,0.536,,0
DAL,2021-22,73535717,0.598,3,1
DAL,2022-23,7729934,0.659,10,3
DAL,2023-24,85989668,0.689,10,3
DET,2012-13,35427316,0.583,7,2
DET,2013-14,63710000,0.567,1,1
DET,2014-15,73035151,0.61,3,1
DET,2015-16,73796207,0.567,1,1
DET,2016-17,59272500,0.482,,0
DET,2017-18,60097608,0.445,,0
DET,2018-19,56441708,0.451,,0
DET,2019-20,49479731,0.275,,0
DET,2020-21,41481305,0.429,,0
DET,2021-22,47409069,0.451,,0
DET,2022-23,49049029,0.488,,0
DET,2023-24,83682500,0.555,,0
EDM,2012-13,25263475,0.469,,0
EDM,2013-14,40650000,0.409,,0
EDM,2014-15,59703978,0.378,,0
EDM,2015-16,56640989,0.427,,0
EDM,2016-17,63254704,0.628,7,2
EDM,2017-18,58637642,0.476,,0
EDM,2018-19,73902397,0.482,,0
EDM,2019-20,75780730,0.585,1,0
EDM,2020-21,69226215,0.643,0,1
EDM,2021-22,61489000,0.634,8,3
EDM,2022-23,75120552,0.665,6,2
EDM,2023-24,81110580,0.634,15,4
FLA,2012-13,25034670,0.375,,0
FLA,2013-14,42079374,0.402,,0
FLA,2014-15,57011149,0.555,,0
FLA,2015-16,50257548,0.628,2,1
FLA,2016-17,49990125,0.494,,0
FLA,2017-18,69364707,0.585,,0
FLA,2018-19,64196880,0.524,,0
FLA,2019-20,76716520,0.565,1,0
FLA,2020-21,64104229,0.705,2,1
FLA,2021-22,59679183,0.744,4,2
FLA,2022-23,71171855,0.561,13,4
FLA,2023-24,88169714,0.671,16,5
LAK,2012-13,40677927,0.615,9,3
LAK,2013-14,72667500,0.61,16,5
LAK,2014-15,75032069,0.579,,0
LAK,2015-16,63797769,0.622,1,1
LAK,2016-17,75043908,0.524,,0
LAK,2017-18,70361951,0.598,0,1
LAK,2018-19,71733183,0.433,,0
LAK,2019-20,59355564,0.457,,0
LAK,2020-21,48162263,0.438,,0
LAK,2021-22,53059913,0.604,3,1
LAK,2022-23,60243187,0.634,2,1
LAK,2023-24,79553256,0.604,1,1
MIN,2012-13,50553781,0.573,1,1
MIN,2013-14,69709308,0.598,6,2
MIN,2014-15,72131721,0.61,4,2
MIN,2015-16,66963463,0.53,2,1
MIN,2016-17,71591667,0.646,1,1
MIN,2017-18,67807525,0.616,1,1
MIN,2018-19,54974461,0.506,,0
MIN,2019-20,76461420,0.558,1,0
MIN,2020-21,78654264,0.67,3,1
MIN,2021-22,65447853,0.689,2,1
MIN,2022-23,63488574,0.628,2,1
MIN,2023-24,69370615,0.53,,0
MTL,2012-13,33989084,0.656,1,1
MTL,2013-14,63546167,0.61,10,3
MTL,2014-15,66493848,0.671,6,2
MTL,2015-16,48600789,0.5,,0
MTL,2016-17,76453480,0.628,2,1
MTL,2017-18,55000026,0.433,,0
MTL,2018-19,64787980,0.585,,0
MTL,2019-20,71702382,0.5,5,1
MTL,2020-21,64314547,0.527,13,4
MTL,2021-22,60183807,0.335,,0
MTL,2022-23,67273083,0.415,,0
MTL,2023-24,75913606,0.463,,0
NJD,2012-13,20419694,0.5,,0
NJD,2013-14,52815000,0.537,,0
NJD,2014-15,52130886,0.476,,0
NJD,2015-16,44780757,0.512,,0
NJD,2016-17,49902760,0.427,,0
NJD,2017-18,60843833,0.591,1,1
NJD,2018-19,44904354,0.439,,0
NJD,2019-20,52751382,0.493,,0
NJD,2020-21,49142217,0.402,,0
NJD,2021-22,61937801,0.384,,0
NJD,2022-23,76823959,0.683,5,2
NJD,2023-24,69516129,0.494,,0
NSH,2012-13,31479756,0.427,,0
NSH,2013-14,57705384,0.537,,0
NSH,2014-15,62234735,0.634,2,1
NSH,2015-16,64803344,0.585,7,2
NSH,2016-17,69250000,0.573,14,4
NSH,2017-18,62395169,0.713,7,2
NSH,2018-19,68485516,0.61,2,1
NSH,2019-20,84222496,0.565,1,0
NSH,2020-21,74731835,0.571,2,1
