Unnamed: 0,Season,Team,Playoff_Wins,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Team Totals,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Team Shooting,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Playoff_Score,Inflation_Adjusted_2025,Payroll_M,Label
1,2023-24,Boston,16,19,16,3,0.842,4585,747,1593,472,829,275,764,298,367,184,634,818,452,119,102,219,298,2067,0.469,0.569,0.36,0.812,0.589,0.555,5,192495669.0,192.495669,Boston (2023-24)
2,2022-23,Denver,16,20,16,4,0.8,4825,845,1719,620,1119,225,600,354,442,201,694,895,515,137,84,232,385,2269,0.492,0.554,0.375,0.801,0.593,0.557,5,172125732.0,172.125732,Denver (2022-23)
3,2021-22,Golden State,16,22,16,6,0.727,5280,910,1895,602,1074,308,821,333,435,216,750,966,594,170,109,320,474,2461,0.48,0.561,0.375,0.766,0.59,0.561,5,206963957.0,206.963957,Golden State (2021-22)
4,2020-21,Milwaukee,16,23,16,7,0.696,5570,968,2095,710,1291,258,804,343,478,295,831,1126,525,180,97,293,413,2537,0.462,0.55,0.321,0.718,0.55,0.524,5,166502403.0,166.502403,Milwaukee (2020-21)
5,2019-20,LA Lakers,16,21,16,5,0.762,5040,862,1764,608,1046,254,718,391,516,222,704,926,538,169,112,323,476,2369,0.489,0.581,0.354,0.758,0.595,0.561,5,152058818.0,152.058818,LA Lakers (2019-20)
6,2018-19,Toronto,16,24,16,8,0.667,5810,904,2034,618,1207,286,827,464,559,199,817,1016,541,193,110,276,543,2558,0.444,0.512,0.346,0.83,0.561,0.515,5,171798667.0,171.798667,Toronto (2018-19)
7,2017-18,Golden State,16,21,16,5,0.762,5065,866,1806,631,1147,235,659,352,428,192,753,945,547,165,122,270,414,2319,0.48,0.55,0.357,0.822,0.581,0.545,5,176496341.0,176.496341,Golden State (2017-18)
8,2016-17,Golden State,16,17,16,1,0.941,4080,730,1479,514,920,216,559,352,432,158,620,778,480,148,104,232,370,2028,0.494,0.559,0.386,0.815,0.608,0.567,5,132419209.0,132.419209,Golden State (2016-17)
9,2015-16,Cleveland,16,21,16,5,0.762,5040,805,1717,547,1082,258,635,332,458,225,684,909,446,163,89,262,412,2200,0.469,0.506,0.406,0.725,0.573,0.544,5,142581211.0,142.581211,Cleveland (2015-16)
10,2014-15,Golden State,16,21,16,5,0.762,5115,802,1769,562,1128,240,641,325,465,243,715,958,515,168,121,307,471,2169,0.453,0.498,0.374,0.699,0.55,0.521,5,97031531.0,97.031531,Golden State (2014-15)
11,2013-14,San Antonio,16,23,16,7,0.696,5545,914,1861,711,1365,203,496,415,541,217,750,967,511,187,80,289,456,2446,0.491,0.521,0.409,0.767,0.583,0.546,5,84921200.0,84.9212,San Antonio (2013-14)
12,2012-13,Miami,16,23,16,7,0.696,5570,824,1762,647,1297,177,465,409,534,223,653,876,473,191,125,301,510,2234,0.468,0.499,0.381,0.766,0.559,0.518,5,110112709.0,110.112709,Miami (2012-13)
13,2011-12,Miami,16,23,16,7,0.696,5570,804,1749,647,1297,157,452,474,637,234,696,930,402,168,114,299,473,2239,0.46,0.499,0.347,0.744,0.552,0.505,5,105043691.0,105.043691,Miami (2011-12)
14,2010-11,Dallas,16,21,16,5,0.762,5065,724,1572,540,1105,184,467,431,533,203,603,806,423,149,86,271,422,2063,0.461,0.489,0.394,0.809,0.571,0.519,5,123109908.0,123.109908,Dallas (2010-11)
15,2009-10,LA Lakers,16,23,16,7,0.696,5520,859,1867,702,1391,157,476,450,597,294,693,987,452,154,143,287,534,2325,0.46,0.505,0.33,0.754,0.546,0.502,5,133099830.0,133.09983,LA Lakers (2009-10)
16,2008-09,LA Lakers,16,23,16,7,0.696,5570,861,1852,701,1428,160,424,473,633,256,711,967,446,181,144,300,540,2355,0.465,0.491,0.377,0.747,0.553,0.508,5,112345455.0,112.345455,LA Lakers (2008-09)
17,2007-08,Boston,16,26,16,10,0.615,6240,873,1953,716,1516,157,437,541,691,288,752,1040,559,198,112,333,631,2444,0.447,0.472,0.359,0.783,0.541,0.487,5,112353166.0,112.353166,Boston (2007-08)
18,2006-07,San Antonio,16,20,16,4,0.8,4800,705,1535,554,1142,151,393,352,486,210,602,812,397,142,110,278,410,1913,0.459,0.485,0.384,0.724,0.547,0.508,5,101660643.0,101.660643,San Antonio (2006-07)
19,2005-06,Miami,16,23,16,7,0.696,5545,801,1666,655,1227,146,439,466,711,219,748,967,402,161,105,357,553,2214,0.481,0.534,0.333,0.655,0.559,0.525,5,98100857.0,98.100857,Miami (2005-06)
